age,going
34,Yes
21,No
36,No
30,No
123,No
46,No
36,No
41,No
24,No
NA,No
43,Yes
36,No
38,No
34,No
26,No
30,No
30,No
26,No
36,No
30,No
NA,No
27,No
17,Yes
33,No
52,No
NA,No
26,No
36,No
9,No
37,No
37,No
33,No
35,No
27,No
53,No
30,No
30,No
24,No
46,No
50,No
33,No
39,Yes
NA,No
40,No
29,No
28,No
40,No
44,No
NA,No
27,No
26,No
53,No
35,No
27,No
35,No
39,No
28,No
39,No
34,No
27,No
52,No
40,No
42,No
41,No
26,No
40,No
45,No
39,No
34,Yes
NA,No
34,No
47,Yes
41,No
38,No
37,No
37,No
40,No
48,No
388,No
38,No
45,No
39,No
31,No
57,No
NA,No
32,No
33,No
31,No
26,Yes
37,No
44,No
28,No
NA,Yes
24,No
35,No
44,No
52,No
27,No
45,No
55,No
48,No
38,Yes
51,No
27,No
38,No
37,No
42,No
30,No
30,No
35,Yes
45,No
48,Yes
38,No
38,No
35,Yes
33,No
61,No
21,No
47,No
20,No
43,No
28,No
57,No
48,Yes
NA,No
22,No
30,No
24,No
57,No
37,No
24,No
NA,No
32,Yes
50,No
11,Yes
25,No
37,No
NA,No
28,No
50,No
56,No
40,No
48,No
24,No
28,No
31,No
30,No
26,No
30,No
42,No
35,No
50,No
43,No
47,Yes
50,No
42,No
27,No
NA,Yes
26,No
38,No
57,No
48,No
39,No
38,No
40,No
31,No
43,No
47,No
40,No
9,Yes
51,No
31,No
35,No
32,No
40,No
26,No
28,No
24,No
27,No
46,No
29,No
46,No
34,No
47,No
46,No
32,No
30,Yes
26,No
27,No
32,No
14,No
36,No
24,No
34,No
66,No
12,Yes
54,No
62,No
42,No
27,Yes
36,No
23,No
33,No
NA,No
41,No
34,No
44,No
45,Yes
22,No
36,Yes
30,No
32,No
31,No
25,No
NA,No
62,No
18,No
35,Yes
28,No
21,No
18,No
50,No
30,No
45,No
40,No
NA,No
NA,No
41,No
29,No
44,No
41,No
50,No
20,Yes
25,No
40,No
23,No
26,No
49,No
33,No
36,Yes
21,No
32,No
49,No
53,No
12,Yes
45,No
29,No
33,No
32,No
37,No
46,No
45,No
59,No
46,No
28,No
22,No
30,No
33,No
32,No
25,No
37,No
30,No
69,No
41,No
44,No
61,No
22,No
37,No
41,No
22,No
56,No
30,No
30,No
24,No
31,No
48,No
26,No
12,Yes
48,No
36,No
32,No
30,Yes
35,No
44,Yes
28,No
38,No
36,No
37,No
30,No
32,No
25,No
24,No
25,No
33,No
30,No
61,No
20,No
67,No
43,No
66,No
NA,No
NA,No
19,No
NA,No
35,No
31,No
40,No
43,No
54,No
58,No
28,No
NA,No
31,No
NA,No
21,No
39,No
54,No
44,No
15,No
49,No
32,No
37,No
31,No
42,No
30,No
43,No
35,No
29,No
38,No
41,No
26,No
28,No
39,No
32,No
47,No
24,No
29,No
53,No
37,No
43,No
35,No
29,No
30,No
44,No
37,No
30,No
48,No
46,No
35,No
32,No
43,No
29,No
47,No
NA,No
32,No
56,No
29,No
NA,No
27,Yes
19,No
30,No
47,Yes
32,No
50,No
39,No
39,No
22,No
30,No
37,No
25,No
51,No
45,No
40,No
19,No
44,No
24,No
36,No
22,No
43,No
35,No
18,Yes
31,No
31,No
31,No
30,No
30,No
37,No
23,No
52,No
28,No
29,No
46,No
31,No
35,No
34,No
25,No
32,No
22,No
71,No
34,No
57,No
23,No
58,No
45,No
40,No
58,No
58,No
38,No
43,No
32,No
46,No
38,No
29,No
30,No
17,No
30,No
30,No
30,No
36,No
58,No
NA,Yes
41,No
38,No
53,No
31,No
35,No
24,No
35,No
37,Yes
45,No
24,No
33,No
21,No
39,No
34,No
29,No
52,No
47,No
21,No
57,No
28,No
20,No
42,No
28,No
38,No
27,No
NA,No
36,No
45,No
27,No
21,No
24,No
NA,No
31,No
29,No
27,No
32,No
62,No
27,No
120,No
34,No
38,No
43,No
24,No
28,No
40,Yes
21,No
32,No
54,No
NA,No
